VW;Datum;WoTa;Z1;Z2;Z3;Z4;Z5;Z6;ZZ;SZ;Spieleinsatz;G1;G1A;G2;G2A;G3;G3A;G4;G4A;G5;G5A;G6;G6A;G7;G7A;G8;G8A
1;3112;MI;36;49;29;30;6;24;42;2;32489247,75;0;6383704,2;3;433189,9;10;81223,1;436;4843,5;1376;236,1;36402;44,6;39577;32,8;597343;11,9
1;301;SA;21;14;46;40;6;10;42;0;57129681,75;0;9240188,2;1;2285187,2;14;102017,2;1003;3702,3;2408;237,2;59049;48,3;72675;31,4;1151657;10,9
2;701;MI;26;23;20;3;37;6;46;7;28260457,5;0;10653211;4;282604,5;22;32114,1;726;2530,2;1890;149,5;37737;37,4;47267;23,9;674107;9,2
2;1001;SA;18;17;6;49;41;37;26;4;59868432,75;0;13646632,6;6;399122,8;49;30545,1;1423;2734,6;4998;119,7;75772;39,5;125064;19,1;1396210;9,4
3;1401;MI;29;9;7;1;22;32;48;1;33134694,75;0;15303367,3;3;441795,9;18;46020,4;784;2747,1;1659;199,7;44278;37,4;47801;27,7;810762;8,9
3;1701;SA;38;4;12;32;42;46;47;1;66975659,25;0;18652150,2;5;535805,2;20;83719,5;2260;1926,2;3302;202,8;101519;32,9;102027;26,2;1625312;9
4;2101;MI;10;40;7;5;8;38;36;0;43885842,75;0;20846442,3;4;438858,4;18;60952,5;1172;2433,9;2061;212,9;63876;34,3;56546;31;1141341;8,4
4;2401;SA;36;2;14;16;12;46;33;0;85485598,5;0;25120722,2;4;854855,9;73;29275,8;1456;3816,3;5263;162,4;84084;50,8;131341;26;1572986;11,9
5;2801;MI;47;15;3;1;38;24;22;0;71187060;0;28680075,2;3;949160,8;26;68449;1592;2906,5;3124;227,8;85030;41,8;89600;31,7;1551222;10
5;3101;SA;9;11;17;31;7;14;1;2;127342759,5;2;17523606,5;12;424475,8;163;19531;4927;1679,9;16501;77,1;243810;26,1;348474;14,6;3787817;7,3
6;402;MI;21;5;46;10;42;2;15;1;30906601,5;0;1545330;4;309066;11;70242,2;586;3428,2;1493;207;34710;44,5;43715;28,2;653140;10,4
6;702;SA;39;13;48;35;15;2;1;3;58360493,25;2;2231677,3;8;291802,4;13;112231,7;1046;3626,6;1751;333,2;54345;53,6;60808;38,3;1051779;12,2
7;1102;MI;22;43;13;42;39;41;5;7;24952144,5;0;1247607,2;2;499042,8;11;56709,4;423;3834,2;1139;219;26211;47,5;33782;29,5;461623;11,8
7;1402;SA;28;17;40;42;29;47;30;2;56462940;0;4070754,2;4;564629,4;15;94104,9;967;3795,3;2629;214,7;55035;51,2;78436;28,7;1053509;11,7
8;1802;MI;15;43;48;39;49;19;27;3;27305308,5;1;5436019,6;1;1092212,3;8;85329;402;4415;1374;198,7;27921;48,8;42374;25,7;543828;11
8;2102;SA;3;29;41;14;18;31;49;7;54992656,5;0;2749632,8;8;274963,2;36;38189,3;1588;2250,9;3065;179,4;68762;39,9;78165;28,1;1184466;10,2
9;2502;MI;34;7;22;10;43;2;1;1;24388257;0;3969045,6;5;195106;11;55427,8;725;2186,5;1379;176,8;32124;37,9;45352;21,5;550622;9,7
9;2802;SA;22;1;21;15;20;33;40;6;56552643,75;1;6796677,7;1;2262105,7;14;100986,8;677;5429,7;1825;309,8;46353;61;62757;36;996539;12,4
10;403;MI;31;38;44;42;28;6;24;4;23540423,25;0;1177021,1;0;941616,9;12;49042,5;356;4298,1;1101;213,8;21810;53,9;34968;26,9;448236;11,5
10;703;SA;33;26;44;37;38;7;18;8;54194594,25;0;3886750,8;3;1036466,8;32;42339,5;901;3909,7;3820;141,8;57800;46,8;104037;20,8;1193450;9,9
11;1103;MI;32;39;48;47;13;8;27;5;24938277,75;0;5133664,6;2;498765,5;5;124691,3;354;4579;1585;157,3;24258;51,4;46776;21,3;498857;10,9
11;1403;SA;5;44;49;8;26;45;41;4;56909004,75;0;7979114,8;1;2276360,1;10;142272,5;1027;3601,8;2519;225,9;58653;48,5;80284;28,3;1144758;10,9
12;1803;MI;17;37;47;42;4;29;8;5;27604856,25;0;9359357,6;2;552097,1;17;40595,3;747;2402;1441;191,5;36871;37,4;39695;27,8;600384;10,1
12;2103;SA;21;34;10;13;23;38;29;5;59202333,75;2;6159737,1;10;236809,3;34;43531,1;2545;1512;2925;202,4;91683;32,2;78594;30,1;1402940;9,2
13;2503;MI;31;49;25;32;41;14;8;8;22741420,5;0;1137071;3;303218,9;10;56853,5;404;3658,8;1130;201,2;24790;45,8;32197;28,2;486051;10,2
13;2803;SA;4;47;44;41;49;3;8;0;52857596,25;0;3779950,8;3;704767,9;19;69549,4;941;3651,1;2177;242,8;57837;45,6;70143;30,1;1102145;10,5
14;104;MI;13;21;3;33;32;17;27;8;24714898,5;1;5015695,7;7;141227,9;36;17163,1;1242;1293,4;3274;75,4;50877;24,2;64318;15,3;705905;7,7
14;404;SA;11;2;36;26;22;1;12;4;51370038,75;0;2568501,9;1;2054801,5;45;28538,9;1109;3010,8;4447;115,5;61003;42,1;103831;19,7;1096588;10,3
