"Province_State" "Country_Region" "Confirmed" "Deaths"
"Afghanistan" "Afghanistan" 178257 7676
"Albania" "Albania" 274272 3494
"Algeria" "Algeria" 265730 6874
"Andorra" "Andorra" 40328 153
"Angola" "Angola" 99194 1900
"Antarctica" "Antarctica" 11 0
"Antigua and Barbuda" "Antigua and Barbuda" 7523 135
"Argentina" "Argentina" 9056203 128268
"Armenia" "Armenia" 422691 8621
"Australian Capital Territory" "Australia" 89510 46
"New South Wales" "Australia" 2061416 2551
"Northern Territory" "Australia" 55612 36
"Queensland" "Australia" 880572 791
"South Australia" "Australia" 330140 289
"Tasmania" "Australia" 114149 39
"Victoria" "Australia" 1410828 2809
"Western Australia" "Australia" 265423 87
"Austria" "Austria" 4004069 16286
"Azerbaijan" "Azerbaijan" 792289 9703
"Bahamas" "Bahamas" 33366 789
"Bahrain" "Bahrain" 561065 1473
"Bangladesh" "Bangladesh" 1952131 29124
"Barbados" "Barbados" 62968 379
"Belarus" "Belarus" 970750 6882
"Antwerp" "Belgium" 627697 0
"Brussels" "Belgium" 435242 0
"East Flanders" "Belgium" 521549 0
"Flemish Brabant" "Belgium" 376373 0
"Hainaut" "Belgium" 437843 0
"Liege" "Belgium" 362660 0
"Limburg" "Belgium" 292746 0
"Luxembourg" "Belgium" 102583 0
"Namur" "Belgium" 170416 0
"Walloon Brabant" "Belgium" 144339 0
"West Flanders" "Belgium" 416101 0
"Belize" "Belize" 57318 672
"Benin" "Benin" 26952 163
"Bhutan" "Bhutan" 45056 14
"Bolivia" "Bolivia" 903584 21899
"Bosnia and Herzegovina" "Bosnia and Herzegovina" 376264 15742
"Botswana" "Botswana" 305859 2688
"Acre" "Brazil" 124103 1996
"Alagoas" "Brazil" 297095 6907
"Amapa" "Brazil" 160363 2128
"Amazonas" "Brazil" 581729 14162
"Bahia" "Brazil" 1537340 29789
"Ceara" "Brazil" 1242889 26825
"Distrito Federal" "Brazil" 693775 11619
"Espirito Santo" "Brazil" 1042925 14362
"Goias" "Brazil" 1308557 26356
"Maranhao" "Brazil" 428590 10878
"Mato Grosso" "Brazil" 724653 14854
"Mato Grosso do Sul" "Brazil" 526217 10519
"Minas Gerais" "Brazil" 3345726 61046
"Para" "Brazil" 759465 18163
"Paraiba" "Brazil" 599628 10197
"Parana" "Brazil" 2428625 43004
"Pernambuco" "Brazil" 909660 21500
"Piaui" "Brazil" 367916 7733
"Rio Grande do Norte" "Brazil" 500970 8157
"Rio Grande do Sul" "Brazil" 2300259 39172
"Rio de Janeiro" "Brazil" 2114523 73111
"Rondonia" "Brazil" 397184 7193
"Roraima" "Brazil" 155325 2146
"Santa Catarina" "Brazil" 1687549 21709
"Sao Paulo" "Brazil" 5318694 167730
"Sergipe" "Brazil" 326803 6337
"Tocantins" "Brazil" 303723 4148
"Brunei" "Brunei" 139061 216
"Bulgaria" "Bulgaria" 1147165 36740
"Burkina Faso" "Burkina Faso" 20865 383
"Burma" "Burma" 612406 19434
"Burundi" "Burundi" 38698 38
"Cabo Verde" "Cabo Verde" 55974 401
"Cambodia" "Cambodia" 135980 3055
"Cameroon" "Cameroon" 119780 1927
"Alberta" "Canada" 546247 4104
"British Columbia" "Canada" 357974 3004
"Diamond Princess" "Canada" 0 1
"Grand Princess" "Canada" 13 0
"Manitoba" "Canada" 136573 1751
"New Brunswick" "Canada" 48197 349
"Newfoundland and Labrador" "Canada" 40336 122
"Northwest Territories" "Canada" 11552 21
"Nova Scotia" "Canada" 65991 263
"Nunavut" "Canada" 3531 7
"Ontario" "Canada" 1176866 12498
"Prince Edward Island" "Canada" 28375 19
"Quebec" "Canada" 992646 14512
"Repatriated Travellers" "Canada" 13 0
"Saskatchewan" "Canada" 133256 1253
"Yukon" "Canada" 3940 24
"Central African Republic" "Central African Republic" 14649 113
"Chad" "Chad" 7378 192
"Antofagasta" "Chile" 121981 1747
"Araucania" "Chile" 214314 2537
"Arica y Parinacota" "Chile" 55163 807
"Atacama" "Chile" 65317 577
"Aysen" "Chile" 24756 178
"Biobio" "Chile" 350137 4227
"Coquimbo" "Chile" 125102 1656
"Los Lagos" "Chile" 193240 2293
"Los Rios" "Chile" 105433 1205
"Magallanes" "Chile" 50917 701
"Maule" "Chile" 237136 2866
"Metropolitana" "Chile" 1343314 28114
"Nuble" "Chile" 99183 1083
"OHiggins" "Chile" 148485 2488
"Tarapaca" "Chile" 79251 1084
"Valparaiso" "Chile" 302106 5529
"Anhui" "China" 1056 6
"Beijing" "China" 1826 9
"Chongqing" "China" 693 6
"Fujian" "China" 2929 1
"Gansu" "China" 681 2
"Guangdong" "China" 6749 8
"Guangxi" "China" 1532 2
"Guizhou" "China" 178 2
"Hainan" "China" 280 6
"Hebei" "China" 1982 7
"Heilongjiang" "China" 2508 13
"Henan" "China" 2846 22
"Hong Kong" "China" 1193023 8886
"Hubei" "China" 68394 4512
"Hunan" "China" 1337 4
"Inner Mongolia" "China" 1688 1
"Jiangsu" "China" 2109 0
"Jiangxi" "China" 1068 1
"Jilin" "China" 38301 5
"Liaoning" "China" 1607 2
"Macau" "China" 82 0
"Ningxia" "China" 122 0
"Qinghai" "China" 43 0
"Shaanxi" "China" 3256 3
"Shandong" "China" 2654 7
"Shanghai" "China" 14473 7
"Shanxi" "China" 352 0
"Sichuan" "China" 1966 3
"Tianjin" "China" 1799 3
"Tibet" "China" 1 0
"Xinjiang" "China" 999 3
"Yunnan" "China" 2083 2
"Zhejiang" "China" 2850 1
"Amazonas" "Colombia" 7568 265
"Antioquia" "Colombia" 918159 18247
"Arauca" "Colombia" 16312 533
"Atlantico" "Colombia" 402226 10128
"Bolivar" "Colombia" 197232 3241
"Boyaca" "Colombia" 125193 2782
"Caldas" "Colombia" 116923 2525
"Capital District" "Colombia" 1767566 29355
"Caqueta" "Colombia" 24982 1025
"Casanare" "Colombia" 41673 1002
"Cauca" "Colombia" 72252 1792
"Cesar" "Colombia" 106474 2671
"Choco" "Colombia" 18586 429
"Cordoba" "Colombia" 119034 3931
"Cundinamarca" "Colombia" 318136 7282
"Guainia" "Colombia" 2765 37
"Guaviare" "Colombia" 5588 105
"Huila" "Colombia" 100322 3514
"La Guajira" "Colombia" 56328 1528
"Magdalena" "Colombia" 114846 3621
"Meta" "Colombia" 104983 2540
"Narino" "Colombia" 104396 3315
"Norte de Santander" "Colombia" 119759 5101
"Putumayo" "Colombia" 20491 775
"Quindio" "Colombia" 70801 2054
"Risaralda" "Colombia" 106343 2469
"San Andres y Providencia" "Colombia" 10189 155
"Santander" "Colombia" 283426 8168
"Sucre" "Colombia" 65667 1714
"Tolima" "Colombia" 124447 4006
"Valle del Cauca" "Colombia" 540664 15037
"Vaupes" "Colombia" 1889 21
"Vichada" "Colombia" 3399 61
"Comoros" "Comoros" 8100 160
"Congo (Kinshasa)" "Congo" 86748 1337
"Costa Rica" "Costa Rica" 844892 8357
"Cote d'Ivoire" "Cote d'Ivoire" 81834 797
"Croatia" "Croatia" 1109847 15702
"Cuba" "Cuba" 1097675 8519
"Cyprus" "Cyprus" 461531 987
"Czechia" "Czechia" 3872522 39933
"Faroe Islands" "Denmark" 34658 28
"Greenland" "Denmark" 11971 21
"Denmark" "Denmark" 3089642 5932
"Diamond Princess" "Diamond Princess" 712 13
"Djibouti" "Djibouti" 15595 189
"Dominica" "Dominica" 11981 63
"Dominican Republic" "Dominican Republic" 578626 4375
"Ecuador" "Ecuador" 865263 35508
"Egypt" "Egypt" 511977 24522
"El Salvador" "El Salvador" 162089 4124
"Equatorial Guinea" "Equatorial Guinea" 15904 183
"Eritrea" "Eritrea" 9732 103
"Estonia" "Estonia" 565213 2498
"Eswatini" "Eswatini" 70014 1395
"Ethiopia" "Ethiopia" 470108 7509
"Fiji" "Fiji" 64499 834
"Finland" "Finland" 920692 3334
"French Guiana" "France" 79529 394
"French Polynesia" "France" 72570 648
"Guadeloupe" "France" 142573 940
"Martinique" "France" 148048 918
"Mayotte" "France" 36958 187
"New Caledonia" "France" 60498 312
"Reunion" "France" 347941 720
"Saint Barthelemy" "France" 4313 6
"Saint Pierre and Miquelon" "France" 2509 1
"St Martin" "France" 10176 63
"Wallis and Futuna" "France" 454 7
"France" "France" 26447656 140466
"Gabon" "Gabon" 47588 303
"Gambia" "Gambia" 11990 365
"Georgia" "Georgia" 1651969 16779
"Baden-Wurttemberg" "Germany" 3269042 15455
"Bayern" "Germany" 4351758 23062
"Berlin" "Germany" 955168 4421
"Brandenburg" "Germany" 725150 5480
"Bremen" "Germany" 169613 731
"Hamburg" "Germany" 489172 2464
"Hessen" "Germany" 1575359 9746
"Mecklenburg-Vorpommern" "Germany" 437660 2089
"Niedersachsen" "Germany" 1919410 8387
"Nordrhein-Westfalen" "Germany" 4586994 24161
"Rheinland-Pfalz" "Germany" 982220 5379
"Saarland" "Germany" 276965 1585
"Sachsen" "Germany" 1399143 14990
"Sachsen-Anhalt" "Germany" 649514 5125
"Schleswig-Holstein" "Germany" 572882 2351
"Thuringen" "Germany" 657029 6952
"Ghana" "Ghana" 161071 1445
"Greece" "Greece" 3195887 28274
"Grenada" "Grenada" 14064 219
"Guatemala" "Guatemala" 836234 17400
"Guinea" "Guinea" 36459 440
