"Province_State" "Country_Region" "Lat" "Long" "Confirmed" "Deaths"
"Afghanistan" "Afghanistan" 33.93911 67.709953 57898 2546
"Albania" "Albania" 41.1533 20.1683 129694 2347
"Algeria" "Algeria" 28.0339 1.6596 119805 3160
"Angola" "Angola" -11.2027 17.8739 24518 563
"Argentina" "Argentina" -38.4161 -63.6167 2714475 59476
"Australian Capital Territory" "Australia" -35.4735 149.0124 123 3
"New South Wales" "Australia" -33.8688 151.2093 5387 54
"Northern Territory" "Australia" -12.4634 130.8456 129 0
"Queensland" "Australia" -27.4698 153.0251 1518 7
"South Australia" "Australia" -34.9285 138.6007 688 4
"Tasmania" "Australia" -42.8821 147.3272 234 13
"Victoria" "Australia" -37.8136 144.9631 20499 820
"Western Australia" "Australia" -31.9505 115.8605 978 9
"Austria" "Austria" 47.5162 14.5501 595540 9922
"Azerbaijan" "Azerbaijan" 40.1431 47.5769 301661 4169
"Bahamas" "Bahamas" 25.025885 -78.035889 9791 194
"Bahrain" "Bahrain" 26.0275 50.55 165118 600
"Bangladesh" "Bangladesh" 23.685 90.3563 723221 10497
"Barbados" "Barbados" 13.1939 -59.5432 3784 44
"Antwerp" "Belgium" 51.2195 4.4024 121141 0
"Brussels" "Belgium" 50.8503 4.3517 117981 0
"East Flanders" "Belgium" 51.0362 3.7373 109168 0
"Flemish Brabant" "Belgium" 50.9167 4.5833 72750 0
"Hainaut" "Belgium" 50.5257 4.0621 140830 0
"Liege" "Belgium" 50.4496 5.8492 117868 0
"Limburg" "Belgium" 50.9739 5.342 50948 0
"Luxembourg" "Belgium" 50.0547 5.4677 27846 0
"Namur" "Belgium" 50.331 4.8221 52782 0
"Walloon Brabant" "Belgium" 50.4 4.35 36555 0
"West Flanders" "Belgium" 51.0536 3.1458 85792 0
"Belize" "Belize" 17.1899 -88.4976 12558 318
"Benin" "Benin" 9.3077 2.3158 7611 95
"Bhutan" "Bhutan" 27.5142 90.4336 961 1
"Bolivia" "Bolivia" -16.2902 -63.5887 290362 12666
"Bosnia and Herzegovina" "Bosnia and Herzegovina" 43.9159 17.6791 191154 7938
"Botswana" "Botswana" -22.3285 24.6849 44702 684
"Acre" "Brazil" -9.0238 -70.812 75599 1433
"Alagoas" "Brazil" -9.5713 -36.782 167039 3991
"Amapa" "Brazil" 0.902 -52.003 103374 1477
"Amazonas" "Brazil" -3.4168 -65.8561 364028 12396
"Bahia" "Brazil" -12.5797 -41.7007 863764 17371
"Ceara" "Brazil" -5.4984 -39.3206 623047 16235
"Distrito Federal" "Brazil" -15.7998 -47.8645 367969 7284
"Espirito Santo" "Brazil" -19.1834 -40.3089 418457 8764
"Goias" "Brazil" -15.827 -49.8362 526028 13691
"Maranhao" "Brazil" -4.9609 -45.2744 257369 6907
"Mato Grosso" "Brazil" -12.6819 -56.9211 342720 9012
"Mato Grosso do Sul" "Brazil" -20.7722 -54.7852 237714 5224
"Minas Gerais" "Brazil" -18.5122 -44.555 1281421 30397
"Para" "Brazil" -1.9981 -54.9306 451192 11900
"Paraiba" "Brazil" -7.24 -36.782 280967 6478
"Parana" "Brazil" -25.2521 -52.0215 909691 20424
"Pernambuco" "Brazil" -8.8137 -36.9541 383184 13248
"Piaui" "Brazil" -7.7183 -42.7289 227910 4780
"Rio Grande do Norte" "Brazil" -5.4026 -36.9541 213447 5126
"Rio Grande do Sul" "Brazil" -30.0346 -51.2177 922550 23271
