"Country_Region" "Confirmed" "Deaths"
"Afghanistan" 115751 4730
"Albania" 132513 2456
"Algeria" 138840 3699
"Angola" 38613 891
"Argentina" 4423636 93142
"Australia" 30560 910
"Austria" 650324 10701
"Azerbaijan" 335874 4970
"Bahamas" 12467 245
"Bahrain" 265477 1348
"Bangladesh" 896770 14276
"Barbados" 4077 47
"Belgium" 1062542 0
"Belize" 13189 329
"Benin" 8170 104
"Bhutan" 2062 1
"Bolivia" 435568 16631
"Bosnia and Herzegovina" 204991 9658
"Botswana" 69680 1125
"Brazil" 18448402 514092
"Brunei" 259 3
"Bulgaria" 421646 18040
"Burkina Faso" 13479 168
"Burma" 154385 3309
"Burundi" 5423 8
"Cabo Verde" 32399 286
"Cambodia" 48532 556
"Cameroon" 80487 1320
"Canada" 1421695 26215
"Central African Republic" 7141 98
"Chad" 4951 174
"Chile" 1551085 32454
"China" 103745 4846
"Colombia" 4187194 105326
"Comoros" 3912 146
"Congo" 40439 916
"Costa Rica" 364304 4648
"Croatia" 359666 8202
"Cuba" 184943 1253
"Cyprus" 75099 374
"Czechia" 1666947 30298
"Denmark" 293916 2534
"Djibouti" 11601 155
"Dominican Republic" 323650 3801
"Ecuador" 455743 21523
"Egypt" 280770 16125
"El Salvador" 78766 2371
"Equatorial Guinea" 8723 121
"Eritrea" 5884 22
"Estonia" 130983 1269
"Ethiopia" 275974 4315
"Fiji" 3832 17
"Finland" 95168 969
"France" 5832490 111174
"Gabon" 24984 159
"Gambia" 6069 181
"Georgia" 363874 5275
"Germany" 3727675 90826
"Ghana" 95476 795
"Greece" 421266 12663
"Grenada" 161 1
"Guatemala" 291977 9089
"Guinea" 23744 168
"Guinea-Bissau" 3846 69
"Guyana" 19891 466
"Haiti" 18212 413
"Honduras" 260331 6922
"Hungary" 808042 29989
"Iceland" 6555 29
"India" 30316897 397637
"Indonesia" 2135998 57561
"Iran" 3180092 83985
"Iraq" 1332046 17121
"Ireland" 271589 4989
"Israel" 841196 6429
"Italy" 4258456 127500
"Jamaica" 50054 1061
"Japan" 797076 14659
"Jordan" 750389 9737
"Kazakhstan" 478063 3527
"Kenya" 182884 3612
"Kosovo" 107331 2262
"Kuwait" 353133 1943
"Kyrgyzstan" 121946 1982
"Laos" 2110 3
"Latvia" 137240 2503
"Lebanon" 544520 7845
"Lesotho" 11239 329
"Liberia" 3794 123
"Libya" 192786 3191
"Liechtenstein" 3034 59
"Lithuania" 278689 4381
"Luxembourg" 70642 818
"Madagascar" 42194 909
"Malawi" 35709 1187
"Malaysia" 739266 5001
"Maldives" 73482 209
"Mali" 14419 525
"Malta" 30612 420
"Mauritania" 20676 487
"Mauritius" 1833 18
"Mexico" 2507453 232608
"Moldova" 256614 6187
"Monaco" 2575 33
"Mongolia" 111505 533
"Montenegro" 100204 1609
"Morocco" 529895 9283
"Mozambique" 75422 869
"Namibia" 86649 1445
"Nepal" 635188 9051
"Netherlands" 1707718 18009
"New Zealand" 2742 26
"Nicaragua" 7920 189
"Niger" 5480 193
"Nigeria" 167532 2119
"North Macedonia" 155676 5484
"Norway" 130744 792
"Oman" 264302 3013
"Pakistan" 956392 22254
"Panama" 401332 6529
"Papua New Guinea" 17098 173
"Paraguay" 419764 12641
"Peru" 2033606 190906
"Philippines" 1403588 24456
"Poland" 2879689 74979
"Portugal" 875449 17086
"Qatar" 221810 588
"Romania" 1080667 33311
"Russia" 5408744 131671
"Rwanda" 37384 427
"Saint Lucia" 5284 84
"Saint Vincent and the Grenadines" 2219 12
"San Marino" 5091 90
"Sao Tome and Principe" 2365 37
"Saudi Arabia" 484539 7789
"Senegal" 42929 1164
"Serbia" 716385 7039
"Seychelles" 15579 68
"Sierra Leone" 5443 97
"Singapore" 62553 36
"Slovakia" 391566 12509
"Slovenia" 257252 4419
"Solomon Islands" 20 0
"Somalia" 14933 775
"South Africa" 1941119 60038
"South Sudan" 10824 116
"Spain" 3792642 80789
"Sri Lanka" 255508 2985
"Sudan" 36620 2754
"Suriname" 21360 512
"Sweden" 1088896 14619
"Switzerland" 702746 10885
"Syria" 25442 1870
"Taiwan" 14694 635
"Tajikistan" 13460 90
"Tanzania" 509 21
"Thailand" 249853 1934
"Timor-Leste" 9055 21
"Togo" 13846 128
"Trinidad and Tobago" 32343 822
"Tunisia" 408931 14737
"Turkey" 5414310 49634
"Uganda" 79089 956
"Ukraine" 2298478 54517
"United Arab Emirates" 628976 1802
"United Kingdom" 4771367 128367
"Uruguay" 366915 5524
"US" 33640502 604115
"Uzbekistan" 109692 731
"Vanuatu" 4 1
"Venezuela" 269635 3068
"Vietnam" 16136 78
"Yemen" 6909 1361
"Zambia" 149661 2091
"Zimbabwe" 47284 1749
