id;group;score
1;1;22
2;1;36
3;1;21
4;1;10,5
5;1;28
6;1;26
7;1;33,5
8;1;37
9;1;31,5
10;1;28
11;1;5
12;1;25
13;1;35
14;1;41
15;1;38
16;1;20
17;1;33
18;1;24,5
19;1;26,5
20;1;15
21;1;46
22;1;28,5
23;1;43
24;1;10,5
25;1;35
26;1;40
27;1;35,5
28;1;31
29;1;22
30;1;36
31;1;44
32;1;13
33;1;14
34;1;40
35;1;28
36;1;26,5
37;1;10
38;1;25,5
39;1;17,5
40;1;31
41;1;23
42;1;37
43;1;19
44;1;31
45;1;27
46;1;27,5
47;1;17
48;1;34
49;1;43,5
50;1;15,5
51;1;19
52;1;27,5
53;1;8,5
54;1;35,5
55;1;28,5
56;1;21,5
57;1;19,5
58;1;46,5
59;1;23,5
60;1;15
61;2;0
62;2;21
63;2;37
64;2;26,5
65;2;17
66;2;54,5
67;2;34
68;2;44,5
69;2;23
70;2;19
71;2;10
72;2;17
73;2;31
74;2;33,5
75;2;33
76;2;7,5
77;2;36
78;2;27
79;2;26
80;2;43
81;2;30,5
82;2;39
83;2;10,5
84;2;9
85;2;45
86;2;17,5
87;2;27
88;2;40,5
89;2;25
90;2;44
91;2;21
92;2;32
93;2;20
94;2;22
95;2;29,5
96;2;29
97;2;31,5
98;2;15,5
99;2;38
100;2;20
101;2;34
102;2;40
103;2;24,5
104;2;25
105;2;19,5
106;2;50
