Kategorie;Typ;Kraftstoff;Hubraum;x ;v_herst;v
Kleinstwagen;Kia Picanto 1,0;Super;1000;69;4,3;5,6
Kleinstwagen;Ford Ka;Super;1200;69;4,9;5,4
Kleinstwagen;Toyota IQ 1,0;Super;1000;68;4,3;5,4
Kleinstwagen;Hyundai i10;Super;1100;69;4,7;5,3
Kleinstwagen;Citroen C1;Super;1000;68;4,3;5,2
Kleinstwagen;Nissan Pixo;Super;1000;68;4,4;5,1
Kleinstwagen;Toyota Aygo;Super;1000;68;4,4;4,9
Kleinstwagen;VW White Up;Super;1000;75;4,7;4,9
Kleinstwagen;Suzuki Alto;Super;1000;68;4,4;4,7
Kleinstwagen;Fiat 500;Diesel;1300;95;3,9;4,6
Kleinstwagen;Seat Mil;Super;1000;60;4,1;4,5
Kleinstwagen;Skoda Citygo;Super;1000;60;4,1;4,4
Kleinwagen;Fiat Panda;Diesel;1300;75;5,9;4,7
Kleinwagen;Suzuki Swift;Super;1200;94;5,5;5,8
Kleinwagen;Ford Fiesta;Super;1000;100;4,3;5,7
Kleinwagen;Honda Jazz;Super;1300;88;3,5;5,7
Kleinwagen;Nissan Micra;Super;1200;98;4,3;5,5
Kleinwagen;Mazda 2;Diesel;1600;95;4,2;5,3
Kleinwagen;Peugeot 208;Diesel;1600;92;3,8;5
Kleinwagen;Audi A1;Diesel;1600;105;3,9;5
Kleinwagen;Chevrolet Aveo;Diesel;1300;95;4,1;4,7
Kleinwagen;Toyota Yaris;Super;1500;100;3,5;4,6
Kleinwagen;Hyundai i20;Diesel;1100;75;3,6;4,5
Kleinwagen;Mini D Cooper;Diesel;1600;112;3,8;4,5
Kleinwagen;VW Polo;Diesel;1600;90;3,7;4,5
Kleinwagen;Skoda Fabia;Diesel;1200;75;3,4;4,4
Kompaktklasse;Suzuki SX4;Diesel;2000;135;5,3;6,1
Kompaktklasse;Honda CR-Z;Super;1500;114;5;5,7
Kompaktklasse;Mazda 3;Diesel;1600;115;4,4;5,7
Kompaktklasse;Peugeot 308;Diesel;1600;150;5,1;5,7
Kompaktklasse;Lexus CT 200h;Super;1800;99;4,1;5,7
Kompaktklasse;Alfa Romeo Giulietta;Diesel;2000;140;4,5;5,7
Kompaktklasse;Citroen C4;Diesel;2000;150;5,3;5,6
Kompaktklasse;Toyota Auris;Diesel;2000;124;4,3;5,3
Kompaktklasse;Opel Astra;Diesel;1700;110;4,3;5,3
Kompaktklasse;Renault Megane;Diesel;1500;110;3,5;5,3
Kompaktklasse;Mercedes A180;Diesel;1800;109;3,8;5,3
Kompaktklasse;VW Golf;Diesel;1600;105;3,8;5,2
Kompaktklasse;Audi A3;Diesel;2000;150;4,4;5,2
Kompaktklasse;Hyundai i30;Diesel;1600;128;4,1;5,2
Kompaktklasse;Honda Civic;Diesel;1600;120;3,7;5,1
Kompaktklasse;Skoda Rapid;Diesel;1600;105;4;5,1
Kompaktklasse;BMW 116d;Diesel;2000;115;4,5;5
Kompaktklasse;Ford Focus;Diesel;1600;115;4,2;4,9
Kompaktklasse;Volvo V40;Diesel;1600;115;3,8;4,8
Kompaktklasse;Kia cee´d;Diesel;1600;128;3,8;4,6
Mittelklasse;Toyota Avensis;Diesel;2000;124;4,6;5,7
Mittelklasse;Seat Exeo;Diesel;2000;120;5,7;5,5
Mittelklasse;Mazda 6;Diesel;2200;150;4,4;5,6
Mittelklasse;Volvo S60;Diesel;2000;136;4,3;5,5
Mittelklasse;Ford Mondeo;Diesel;1600;115;4,9;5,5
Mittelklasse;Mercedes C180;Diesel;2200;120;4,8;5,4
